expiry_date;reference_id;control_timestamp;allee
2021-12-16;3041091476890;2021-03-27 09:13:38+00;R14 LAIT INFANTILE
2022-03-09;3041091461421;2021-03-27 09:16:28+00;R14 LAIT INFANTILE
2022-06-02;3041091477156;2021-03-27 09:20:00+00;R14 LAIT INFANTILE
2022-03-31;3175681248113;2021-09-15 11:25:23.438+00;R14 BIO VITALITE
2022-07-31;3175681029859;2021-10-16 11:45:03.562+00;R14 BIO VITALITE
2022-03-31;3175680905376;2021-10-16 11:45:48.336+00;R14 BIO VITALITE
2022-01-14;3041091099723;2021-03-27 09:21:50+00;R14 LAIT INFANTILE
2023-01-13;3041090841644;2021-03-27 09:24:58+00;R14 LAIT INFANTILE
2023-01-18;3041090734700;2021-03-27 09:27:37+00;R14 LAIT INFANTILE
2021-12-13;3041091099914;2021-03-27 09:29:31+00;R14 LAIT INFANTILE
2022-01-04;7613038317922;2021-03-27 09:35:33+00;R14 LAIT INFANTILE
2022-02-28;3175681158351;2021-10-16 11:46:05.959+00;R14 BIO VITALITE
2021-12-31;3175681188389;2021-10-16 11:47:24.257+00;R14 BIO VITALITE
2022-05-30;7613035607729;2021-03-27 09:45:47+00;R14 LAIT INFANTILE
2022-07-31;7613034090089;2021-03-27 09:48:26+00;R14 LAIT INFANTILE
2021-12-31;7613034090119;2021-03-27 09:52:56+00;R14 LAIT INFANTILE
2022-09-30;7613038417486;2021-03-27 09:54:32+00;R14 LAIT INFANTILE
2021-11-30;7613035124080;2021-03-27 09:55:22+00;R14 LAIT INFANTILE
2022-04-30;7613035608856;2021-03-27 09:57:00+00;R14 LAIT INFANTILE
2022-03-31;7613036999717;2021-03-27 09:58:50+00;R14 LAIT INFANTILE
2022-05-31;7613033363443;2021-03-27 10:01:10+00;R14 LAIT INFANTILE
2022-02-28;7613038317649;2021-03-27 10:02:19+00;R14 LAIT INFANTILE
2021-12-30;3033710053711;2021-03-27 10:13:59+00;R14 LAIT INFANTILE
2021-12-31;3033710068630;2021-03-27 10:16:09+00;R14 LAIT INFANTILE
2021-12-31;7613035608887;2021-03-27 10:24:06+00;R14 LAIT INFANTILE
2022-07-14;3041091439987;2021-03-27 10:27:45+00;R14 LAIT INFANTILE
2022-03-06;3041091511744;2021-03-27 10:28:46+00;R14 LAIT INFANTILE
2022-03-31;7613033112867;2021-03-27 10:30:10+00;R14 LAIT INFANTILE
2022-09-30;7613032405687;2021-03-27 10:31:16+00;R14 LAIT INFANTILE
2022-07-29;3572731301598;2021-03-27 10:32:41+00;R14 LAIT INFANTILE
2022-03-31;3288111545222;2021-03-27 10:33:42+00;R14 LAIT INFANTILE
2021-11-24;3288111545161;2021-03-27 10:34:46+00;R14 LAIT INFANTILE
2022-04-30;7613036217316;2021-03-27 10:37:07+00;R14 LAIT INFANTILE
2022-05-12;4062300366909;2021-03-27 10:43:51+00;R14 LAIT INFANTILE
2022-03-16;4062300366992;2021-03-27 10:45:33+00;R14 LAIT INFANTILE
2022-04-27;4062300367005;2021-03-27 10:48:05+00;R14 LAIT INFANTILE
2022-06-16;4062300366930;2021-03-27 10:49:09+00;R14 LAIT INFANTILE
2021-12-09;3041091479235;2021-03-27 10:49:37+00;R14 LAIT INFANTILE
2021-12-09;3288111545208;2021-03-27 10:50:05+00;R14 LAIT INFANTILE
2022-07-24;3572731300737;2021-03-27 10:50:38+00;R14 LAIT INFANTILE
2022-02-28;7613036217347;2021-03-27 10:51:23+00;R14 LAIT INFANTILE
2022-04-01;3288111545178;2021-03-27 10:54:10+00;R14 LAIT INFANTILE
2022-08-01;3572731301604;2021-03-27 10:56:35+00;R14 LAIT INFANTILE
2022-11-30;7613032506636;2021-03-27 10:57:13+00;R14 LAIT INFANTILE
2022-02-28;7613033112898;2021-03-27 10:58:16+00;R14 LAIT INFANTILE
2022-07-14;3041091440006;2021-03-27 11:00:36+00;R14 LAIT INFANTILE
2022-12-20;3041091553324;2021-03-27 11:01:49+00;R14 LAIT INFANTILE
2022-10-31;7613032322595;2021-03-27 11:02:30+00;R14 LAIT INFANTILE
